"SecondaryStratumID","TransitionGroupID","Amount"
"Très-Saint-Rédempteur","Agricultural Loss [Type]",0.5535
"Très-Saint-Rédempteur","Deforestation [Type]",2.088
"Très-Saint-Sacrement","Agricultural Expansion [Type]",4.995
"Très-Saint-Sacrement","Agricultural Loss [Type]",0.3825
"Très-Saint-Sacrement","Deforestation [Type]",0.063
"Upton","Agricultural Expansion [Type]",5.328
"Upton","Agricultural Loss [Type]",1.4715
"Upton","Deforestation [Type]",0.8955
"Varennes","Agricultural Expansion [Type]",0.9495
"Varennes","Agricultural Loss [Type]",10.269
"Varennes","Deforestation [Type]",0.8865
"Vaudreuil-Dorion","Agricultural Expansion [Type]",1.2825
"Vaudreuil-Dorion","Agricultural Loss [Type]",29.6055
"Vaudreuil-Dorion","Deforestation [Type]",7.0335
"Vaudreuil-sur-le-Lac","Agricultural Expansion [Type]",0
"Vaudreuil-sur-le-Lac","Agricultural Loss [Type]",0.675
"Vaudreuil-sur-le-Lac","Deforestation [Type]",0.8145
"Venise-en-Québec","Agricultural Expansion [Type]",0.117
"Venise-en-Québec","Agricultural Loss [Type]",1.3995
"Venise-en-Québec","Deforestation [Type]",1.395
"Verchères","Agricultural Expansion [Type]",0.5445
"Verchères","Agricultural Loss [Type]",3.0375
"Verchères","Deforestation [Type]",1.1925
"Warden","Agricultural Expansion [Type]",1.962
"Warden","Agricultural Loss [Type]",0.0855
"Warden","Deforestation [Type]",0.378
"Waterloo","Agricultural Expansion [Type]",1.359
"Waterloo","Agricultural Loss [Type]",0.4905
"Waterloo","Deforestation [Type]",1.8315
"Yamaska","Agricultural Expansion [Type]",5.157
"Yamaska","Agricultural Loss [Type]",1.674
"Yamaska","Deforestation [Type]",0.234
